"GasDay","D_plus_1_pct","D_plus_5_pct"
"2017-06-01","-0.1737","0.0359"
"2017-06-02","0.0292","0.028"
"2017-06-03","0.0734","-0.002"
"2017-06-04","-0.0125","-0.0105"
"2017-06-05","0.2575","0.0769"
"2017-06-06","0.1132","0.109"
"2017-06-07","0.0919","0.0842"
"2017-06-08","0.0997","0.0985"
"2017-06-09","0.054","0.0495"
"2017-06-10","0.084","0.0957"
"2017-06-11","-0.2695","0.072"
"2017-06-12","-0.2743","0.0816"
"2017-06-13","0.0321","0.058"
"2017-06-14","0.0681","0.0626"
"2017-06-15","0.0496","0.0447"
"2017-06-16","0.0614","0.0633"
"2017-06-17","0.0449","0.0401"
"2017-06-18","0.0261","0.0125"
"2017-06-19","-0.0046","-0.0213"
"2017-06-20","0.0087","0.0087"
"2017-06-21","-0.0034","0.0019"
"2017-06-22","0.0148","0.0068"
"2017-06-23","0.0562","0.0532"
"2017-06-24","0.0453","0.0416"
"2017-06-25","0.0229","0.0236"
"2017-06-26","0.0027","-0.0022"
"2017-06-27","0.0358","0.0339"
"2017-06-28","0.0581","0.0578"
"2017-06-29","0.0881","0.0892"
"2017-06-30","0.0718","0.0693"
"2017-07-01","0.0528","0.0395"
"2017-07-02","0.0427","0.0294"
"2017-07-03","0.0396","0.025"
"2017-07-04","0.091","0.072"
"2017-07-05","0.0688","0.0612"
"2017-07-06","0.0362","0.0305"
"2017-07-07","0.0351","0.0255"
"2017-07-08","0.0237","0.0101"
"2017-07-09","0.0346","0.0086"
"2017-07-10","0.0348","0.0201"
"2017-07-11","0.0429","0.0403"
"2017-07-12","0.0021","0.0029"
"2017-07-13","0.0114","0.0098"
"2017-07-14","0.0557","0.0161"
"2017-07-15","0.01","0.0484"
"2017-07-16","0.0906","0.0462"
"2017-07-17","-0.0133","0.0166"
"2017-07-18","0.0104","0.0153"
"2017-07-19","0.0488","0.047"
"2017-07-20","0.0302","0.0254"
"2017-07-21","0.0608","0.0564"
"2017-07-22","0.0361","0.0303"
"2017-07-23","0.0262","0.0223"
"2017-07-24","0.0693","0.0626"
"2017-07-25","0.0601","0.0542"
"2017-07-26","0.0728","0.0692"
"2017-07-27","0.0527","0.0523"
"2017-07-28","0.0544","0.0546"
"2017-07-29","0.0323","0.0317"
"2017-07-30","0.0197","0.0176"
"2017-07-31","0.0142","0.0136"
"2017-08-01","0.0299","0.0257"
"2017-08-02","0.0709","0.064"
"2017-08-03","0.0595","0.0664"
"2017-08-04","0.0512","0.0532"
"2017-08-05","0.0719","0.0204"
"2017-08-06","0.0279","0.0456"
"2017-08-07","-0.0081","-0.0091"
"2017-08-08","0.0199","0.0233"
"2017-08-09","0.0407","0.0412"
"2017-08-10","0.0014","-0.0001"
"2017-08-11","0.0489","0.0433"
"2017-08-12","0.0297","0.0251"
"2017-08-13","0.0147","0.0131"
"2017-08-14","0.0285","0.0278"
"2017-08-15","0.0037","0.0218"
"2017-08-16","0.0468","0.0439"
"2017-08-17","0.0481","0.045"
"2017-08-18","0.046","0.035"
"2017-08-19","0.0614","0.0342"
"2017-08-20","0.0451","0.0344"
"2017-08-21","0.0591","0.0535"
